PartNumber	URL
S-1167B30-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B30-M5T1U?qs=sE1HjTVAc2izMK%252BMdwzckA%3D%3D
S-1167B31-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B31-M5T1G?qs=7rqGpozHao4M%252Be91DSowNw%3D%3D
S-1167B32-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B32-M5T1G?qs=7rqGpozHao4eL6WV4kRMfA%3D%3D
S-1167B33-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B33-M5T1G?qs=7rqGpozHao7WldX6lXTnaA%3D%3D
S-1167B33-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B33-M5T1U?qs=sE1HjTVAc2h6FQK1fo2BbQ%3D%3D
S-1167B35-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B35-M5T1G?qs=7rqGpozHao7HwfAdzCebYQ%3D%3D
S-1167B36-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B36-M5T1G?qs=7rqGpozHao4ceAi3nttBEA%3D%3D
S-1167B37-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B37-M5T1G?qs=7rqGpozHao4TcvO1CU2%2F%2Fw%3D%3D
S-1167B38-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B38-M5T1G?qs=7rqGpozHao5ktG%252BbR6ZQFA%3D%3D
S-1167B39-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B39-M5T1G?qs=7rqGpozHao5lcTgT2wMwuA%3D%3D
S-1167B40-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B40-M5T1G?qs=7rqGpozHao7y4A%252BQkqN1Pg%3D%3D
S-1167B42-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B42-M5T1G?qs=7rqGpozHao7aMUcL3RRZZA%3D%3D
S-1167B43-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B43-M5T1G?qs=7rqGpozHao5xQNONGhBYag%3D%3D
S-1167B44-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B44-M5T1G?qs=7rqGpozHao5GrJT6AcsEmw%3D%3D
S-1167B44-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B44-M5T1U?qs=sE1HjTVAc2iFcMKkqmT26A%3D%3D
S-1167B45-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B45-M5T1G?qs=7rqGpozHao7bZGT%252BTeww2A%3D%3D
S-1167B45-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B45-M5T1U?qs=sE1HjTVAc2hZx60CxTqrsw%3D%3D
S-1167B46-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B46-M5T1G?qs=7rqGpozHao7oGY3LD2aKWQ%3D%3D
S-1167B46-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B46-M5T1U?qs=sE1HjTVAc2hUj9bj3m1KTQ%3D%3D
S-1167B47-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B47-M5T1G?qs=7rqGpozHao5vOzhNnEKLZA%3D%3D
S-1167B47-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B47-M5T1U?qs=sE1HjTVAc2i5e4Xq5ZFV6g%3D%3D
S-1167B48-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B48-M5T1G?qs=7rqGpozHao5VqtgXraYX1A%3D%3D
S-1167B48-M5T1U	https://www.mouser.com/ProductDetail/ABLIC/S-1167B48-M5T1U?qs=sE1HjTVAc2hhCkY41CPnmQ%3D%3D
S-1167B50-M5T1G	https://www.mouser.com/ProductDetail/ABLIC/S-1167B50-M5T1G?qs=7rqGpozHao6igaPgJMkpGQ%3D%3D
S-1170B15UC-OTATFG	https://www.mouser.com/ProductDetail/ABLIC/S-1170B15UC-OTATFG?qs=7rqGpozHao4U3qBJnbL2jg%3D%3D
S-1170B15UC-OTATFU	https://www.mouser.com/ProductDetail/ABLIC/S-1170B15UC-OTATFU?qs=sE1HjTVAc2hF0lgrjhLlzA%3D%3D
